lat,lon,lst_k
30.0,72.0,304.43
30.0,72.0805,304.45
30.0,72.1611,304.49
30.0,72.2416,304.54
30.0,72.3221,304.59
30.0,72.4027,304.65
30.0,72.4832,304.7
30.0,72.5638,304.74
30.0,72.6443,304.76
30.0,72.7248,304.82
30.0,72.8054,304.86
30.0,72.8859,304.92
30.0,72.9664,305.0
30.0,73.047,305.12
30.0,73.1275,305.29
30.0,73.2081,305.51
30.0,73.2886,305.78
30.0,73.3691,306.1
30.0,73.4497,306.44
30.0,73.5302,306.78
30.0,73.6107,307.09
30.0,73.6913,307.34
30.0,73.7718,307.49
30.0,73.8523,307.55
30.0,73.9329,307.49
30.0,74.0134,307.32
30.0,74.094,307.07
30.0,74.1745,306.76
30.0,74.255,306.42
30.0,74.3356,306.07
30.0,74.4161,305.75
30.0,74.4966,305.46
30.0,74.5772,305.22
30.0,74.6577,305.02
30.0,74.7383,304.87
30.0,74.8188,304.75
30.0,74.8993,304.66
30.0,74.9799,304.61
30.0,75.0604,304.53
30.0,75.1409,304.52
30.0,75.2215,304.52
30.0,75.302,304.53
30.0,75.4631,304.54
30.0,75.5436,304.56
30.0,75.6242,304.57
30.0,75.7047,304.57
30.0,75.7852,304.57
30.0,75.8658,304.57
30.0,75.9463,304.57
30.0,76.0268,304.57
30.0,76.1074,304.58
30.0,76.1879,304.6
30.0,76.2685,304.63
30.0,76.349,304.67
30.0,76.4295,304.72
30.0,76.5101,304.78
30.0,76.5906,304.84
30.0,76.6711,304.9
30.0,76.7517,304.96
30.0,76.9128,305.04
30.0,76.9933,305.07
30.0,77.0738,305.09
30.0,77.1544,305.1
30.0,77.2349,305.1
30.0,77.3154,305.1
30.0,77.396,305.09
30.0,77.4765,305.08
30.0,77.557,305.06
30.0,77.6376,305.03
30.0,77.7181,305.0
30.0,77.7987,304.95
30.0,77.8792,304.9
30.0,78.0403,304.78
30.0,78.1208,304.71
30.0,78.2013,304.65
30.0,78.2819,304.61
30.0,78.3624,304.57
30.0,78.443,304.55
30.0,78.5235,304.55
30.0,78.604,304.56
30.0,78.6846,304.58
30.0,78.7651,304.61
30.0,78.8456,304.64
30.0,78.9262,304.67
30.0,79.0067,304.69
30.0,79.0872,304.7
30.0,79.1678,304.71
30.0,79.2483,304.71
30.0,79.3289,304.7
30.0,79.4094,304.68
30.0,79.4899,304.67
30.0,79.5705,304.64
30.0,79.651,304.62
30.0,79.7315,304.58
30.0,79.8121,304.55
30.0,79.8926,304.51
30.0,79.9732,304.47
30.0,80.0537,304.43
30.0,80.1342,304.39
30.0,80.2148,304.35
30.0,80.2953,304.32
30.0,80.3758,304.3
30.0,80.4564,304.29
30.0,80.5369,304.29
30.0,80.6174,304.31
30.0,80.698,304.33
30.0,80.7785,304.36
30.0,80.8591,304.39
30.0,80.9396,304.42
30.0,81.0201,304.45
30.0,81.1007,304.48
30.0,81.1812,304.51
30.0,81.2617,304.53
30.0,81.3423,304.55
30.0,81.4228,304.57
30.0,81.5034,304.58
30.0,81.5839,304.61
30.0,81.6644,304.63
30.0,81.745,304.66
30.0,81.8255,304.7
30.0,81.9866,304.77
30.0,82.0671,304.81
30.0,82.1477,304.84
30.0,82.2282,304.88
30.0,82.3087,304.91
30.0,82.3893,304.94
30.0,82.4698,304.97
30.0,82.5503,304.99
30.0,82.6309,305.02
30.0,82.7114,305.04
30.0,82.7919,305.06
30.0,82.8725,305.08
30.0,82.953,305.09
30.0,83.1141,305.1
30.0,83.2752,305.08
30.0,83.3557,305.06
30.0,83.4362,305.04
30.0,83.5168,305.02
30.0,83.5973,305.0
30.0,83.6779,304.99
30.0,83.7584,304.97
30.0,83.8389,304.96
30.0,83.9195,304.95
30.0,84.0,304.95
29.9329,72.0,304.43
29.9329,72.0805,304.46
29.9329,72.1611,304.49
29.9329,72.2416,304.54
29.9329,72.3221,304.6
29.9329,72.4027,304.66
29.9329,72.4832,304.7
29.9329,72.5638,304.74
29.9329,72.6443,304.8
29.9329,72.7248,304.83
29.9329,72.8054,304.87
29.9329,72.8859,304.93
29.9329,72.9664,305.01
29.9329,73.047,305.13
29.9329,73.1275,305.31
29.9329,73.2081,305.53
29.9329,73.2886,305.81
29.9329,73.3691,306.14
29.9329,73.4497,306.49
29.9329,73.5302,306.83
29.9329,73.6107,307.15
29.9329,73.6913,307.4
29.9329,73.7718,307.56
29.9329,73.8523,307.61
29.9329,73.9329,307.55
29.9329,74.0134,307.38
29.9329,74.094,307.13
29.9329,74.1745,306.81
29.9329,74.255,306.46
29.9329,74.3356,306.11
29.9329,74.4161,305.78
29.9329,74.4966,305.49
29.9329,74.5772,305.24
29.9329,74.6577,305.04
29.9329,74.7383,304.89
29.9329,74.8188,304.77
29.9329,74.8993,304.68
29.9329,74.9799,304.62
29.9329,75.0604,304.58
29.9329,75.1409,304.54
29.9329,75.2215,304.54
29.9329,75.302,304.54
29.9329,75.3826,304.55
29.9329,75.4631,304.56
29.9329,75.5436,304.57
29.9329,75.6242,304.58
29.9329,75.7047,304.58
29.9329,75.7852,304.59
29.9329,75.8658,304.59
29.9329,75.9463,304.58
29.9329,76.0268,304.59
29.9329,76.1074,304.59
29.9329,76.1879,304.61
29.9329,76.2685,304.64
29.9329,76.349,304.68
29.9329,76.4295,304.73
29.9329,76.5101,304.79
29.9329,76.5906,304.85
29.9329,76.6711,304.91
29.9329,76.7517,304.96
29.9329,76.8322,305.01
29.9329,76.9128,305.04
29.9329,76.9933,305.07
29.9329,77.0738,305.09
29.9329,77.1544,305.1
29.9329,77.2349,305.1
29.9329,77.3154,305.1
29.9329,77.396,305.1
29.9329,77.4765,305.09
29.9329,77.557,305.07
29.9329,77.6376,305.05
29.9329,77.7181,305.01
29.9329,77.7987,304.97
29.9329,77.8792,304.92
29.9329,77.9597,304.86
29.9329,78.0403,304.8
29.9329,78.1208,304.74
29.9329,78.2013,304.68
29.9329,78.2819,304.63
29.9329,78.3624,304.6
29.9329,78.443,304.58
29.9329,78.5235,304.57
29.9329,78.604,304.58
29.9329,78.6846,304.6
29.9329,78.8456,304.66
29.9329,78.9262,304.68
29.9329,79.0067,304.7
29.9329,79.0872,304.71
29.9329,79.1678,304.72
29.9329,79.2483,304.72
29.9329,79.3289,304.71
29.9329,79.4094,304.7
29.9329,79.4899,304.68
29.9329,79.5705,304.66
29.9329,79.651,304.63
29.9329,79.7315,304.6
29.9329,79.8121,304.57
29.9329,79.8926,304.53
29.9329,79.9732,304.49
29.9329,80.0537,304.45
29.9329,80.2148,304.37
29.9329,80.2953,304.34
29.9329,80.4564,304.31
29.9329,80.6174,304.32
29.9329,80.698,304.34
29.9329,80.7785,304.37
29.9329,80.8591,304.4
29.9329,80.9396,304.43
29.9329,81.0201,304.46
29.9329,81.1007,304.49
29.9329,81.1812,304.51
29.9329,81.2617,304.53
29.9329,81.3423,304.55
29.9329,81.4228,304.57
29.9329,81.5034,304.59
29.9329,81.5839,304.61
29.9329,81.6644,304.64
29.9329,81.745,304.67
29.9329,81.8255,304.7
29.9329,81.906,304.74
29.9329,81.9866,304.78
29.9329,82.0671,304.82
29.9329,82.1477,304.86
29.9329,82.2282,304.89
29.9329,82.3087,304.92
29.9329,82.3893,304.95
29.9329,82.4698,304.98
29.9329,82.5503,305.01
29.9329,82.6309,305.03
29.9329,82.7114,305.05
29.9329,82.7919,305.07
29.9329,82.8725,305.09
29.9329,82.953,305.1
29.9329,83.0336,305.11
29.9329,83.1141,305.11
29.9329,83.1946,305.1
29.9329,83.2752,305.09
29.9329,83.3557,305.07
29.9329,83.4362,305.05
29.9329,83.5168,305.03
