lat,lon,lst_k
30.0,72.0,310.38
30.0,72.0805,310.38
30.0,72.1611,310.37
30.0,72.2416,310.37
30.0,72.3221,310.37
30.0,72.4027,310.38
30.0,72.4832,310.4
30.0,72.5638,310.42
30.0,72.6443,310.44
30.0,72.7248,310.53
30.0,72.8859,310.69
30.0,72.9664,310.8
30.0,73.047,310.95
30.0,73.1275,311.13
30.0,73.2081,311.35
30.0,73.3691,311.93
30.0,73.4497,312.26
30.0,73.5302,312.6
30.0,73.6107,312.91
30.0,73.6913,313.17
30.0,73.7718,313.34
30.0,73.8523,313.41
30.0,73.9329,313.37
30.0,74.0134,313.23
30.0,74.255,312.42
30.0,74.3356,312.12
30.0,74.4161,311.86
30.0,74.4966,311.64
30.0,74.5772,311.48
30.0,74.6577,311.37
30.0,74.7383,311.31
30.0,74.8188,311.29
30.0,74.8993,311.29
30.0,75.0604,311.27
30.0,75.1409,311.28
30.0,75.2215,311.27
30.0,75.302,311.23
30.0,75.3826,311.18
30.0,75.4631,311.12
30.0,75.5436,311.05
30.0,75.6242,310.98
30.0,75.7047,310.9
30.0,75.8658,310.78
30.0,75.9463,310.74
30.0,76.0268,310.71
30.0,76.1074,310.69
30.0,76.1879,310.7
30.0,76.2685,310.71
30.0,76.349,310.75
30.0,76.4295,310.78
30.0,76.5101,310.83
30.0,76.5906,310.87
30.0,76.6711,310.91
30.0,76.7517,310.94
30.0,76.8322,310.95
30.0,76.9128,310.95
30.0,76.9933,310.94
30.0,77.0738,310.92
30.0,77.1544,310.89
30.0,77.2349,310.85
30.0,77.3154,310.81
30.0,77.396,310.77
30.0,77.4765,310.73
30.0,77.557,310.7
30.0,77.6376,310.66
30.0,77.7181,310.63
30.0,77.7987,310.61
30.0,77.8792,310.59
30.0,77.9597,310.57
30.0,78.0403,310.55
30.0,78.1208,310.54
30.0,78.2013,310.52
30.0,78.2819,310.51
30.0,78.3624,310.5
30.0,78.443,310.49
30.0,78.5235,310.48
30.0,78.604,310.46
