lat,lon,lst_k
30.0,72.0,322.48
30.0,72.0805,322.49
30.0,72.1611,322.51
30.0,72.2416,322.53
30.0,72.3221,322.56
30.0,72.4027,322.59
30.0,72.4832,322.63
30.0,72.5638,322.67
30.0,72.6443,322.72
30.0,72.7248,322.82
30.0,72.8054,322.9
30.0,72.8859,323.0
30.0,72.9664,323.13
30.0,73.047,323.29
30.0,73.1275,323.49
30.0,73.2081,323.74
30.0,73.2886,324.02
30.0,73.3691,324.35
30.0,73.4497,324.69
30.0,73.6107,325.33
30.0,73.6913,325.58
30.0,73.7718,325.74
30.0,73.8523,325.8
30.0,73.9329,325.74
30.0,74.0134,325.59
30.0,74.094,325.35
30.0,74.1745,325.04
30.0,74.255,324.71
30.0,74.3356,324.37
30.0,74.4161,324.06
30.0,74.4966,323.77
30.0,74.5772,323.52
30.0,74.6577,323.31
30.0,74.7383,323.14
30.0,74.8188,323.01
30.0,74.9799,322.83
30.0,75.0604,322.75
30.0,75.1409,322.74
30.0,75.2215,322.75
30.0,75.302,322.78
30.0,75.3826,322.82
30.0,75.4631,322.87
30.0,75.5436,322.94
30.0,75.6242,323.01
30.0,75.7047,323.08
30.0,75.7852,323.15
30.0,75.8658,323.23
30.0,75.9463,323.29
30.0,76.0268,323.35
30.0,76.1074,323.41
30.0,76.1879,323.45
30.0,76.2685,323.49
30.0,76.349,323.51
30.0,76.5101,323.5
30.0,76.5906,323.48
30.0,76.6711,323.45
30.0,76.7517,323.4
30.0,76.8322,323.35
30.0,76.9128,323.3
30.0,76.9933,323.25
30.0,77.0738,323.2
30.0,77.1544,323.16
30.0,77.2349,323.13
30.0,77.3154,323.11
30.0,77.396,323.09
30.0,77.4765,323.09
30.0,77.557,323.08
30.0,77.6376,323.08
30.0,77.7181,323.07
30.0,77.7987,323.06
30.0,77.8792,323.06
30.0,77.9597,323.05
30.0,78.0403,323.05
30.0,78.1208,323.06
30.0,78.2013,323.07
30.0,78.2819,323.09
30.0,78.3624,323.11
30.0,78.443,323.13
30.0,78.5235,323.15
30.0,78.604,323.15
30.0,78.6846,323.14
30.0,78.7651,323.11
30.0,78.8456,323.06
30.0,78.9262,323.01
30.0,79.0872,322.87
30.0,79.1678,322.8
30.0,79.2483,322.73
30.0,79.3289,322.67
30.0,79.4094,322.63
30.0,79.4899,322.6
30.0,79.5705,322.58
30.0,79.651,322.57
30.0,79.7315,322.57
30.0,79.8121,322.58
30.0,79.8926,322.59
30.0,79.9732,322.61
30.0,80.0537,322.62
30.0,80.1342,322.64
30.0,80.2148,322.65
30.0,80.2953,322.65
30.0,80.3758,322.66
30.0,80.4564,322.66
30.0,80.5369,322.65
30.0,80.6174,322.64
30.0,80.698,322.63
30.0,80.7785,322.62
30.0,80.8591,322.61
30.0,80.9396,322.6
30.0,81.0201,322.59
30.0,81.1007,322.6
30.0,81.1812,322.61
30.0,81.2617,322.62
30.0,81.3423,322.64
30.0,81.5034,322.68
30.0,81.5839,322.7
30.0,81.6644,322.72
30.0,81.745,322.73
30.0,81.8255,322.74
30.0,81.906,322.75
30.0,81.9866,322.77
30.0,82.0671,322.79
30.0,82.1477,322.82
30.0,82.2282,322.87
30.0,82.3087,322.92
30.0,82.3893,322.99
30.0,82.4698,323.06
30.0,82.5503,323.12
30.0,82.6309,323.19
30.0,82.7114,323.23
30.0,82.7919,323.27
30.0,82.8725,323.27
30.0,82.953,323.26
30.0,83.0336,323.22
30.0,83.1141,323.16
30.0,83.1946,323.09
30.0,83.2752,323.01
30.0,83.3557,322.92
30.0,83.4362,322.84
30.0,83.5168,322.76
30.0,83.5973,322.7
30.0,83.6779,322.64
30.0,83.7584,322.6
30.0,83.8389,322.57
30.0,83.9195,322.56
30.0,84.0,322.55
29.9329,72.0805,322.51
29.9329,72.1611,322.53
29.9329,72.2416,322.55
29.9329,72.3221,322.58
29.9329,72.4027,322.62
29.9329,72.4832,322.65
29.9329,72.5638,322.69
29.9329,72.6443,322.77
29.9329,72.7248,322.84
29.9329,72.8054,322.92
29.9329,72.8859,323.02
29.9329,72.9664,323.15
29.9329,73.047,323.32
29.9329,73.2081,323.77
29.9329,73.2886,324.06
29.9329,73.3691,324.39
29.9329,73.4497,324.73
29.9329,73.5302,325.08
