lat,lon,lst_k
30.0,72.0,299.78
30.0,72.0805,299.78
30.0,72.1611,299.78
30.0,72.2416,299.78
30.0,72.3221,299.78
30.0,72.4027,299.79
30.0,72.4832,299.8
30.0,72.5638,299.83
30.0,72.6443,299.85
30.0,72.7248,299.95
30.0,72.8054,300.03
30.0,72.8859,300.14
30.0,72.9664,300.28
30.0,73.047,300.47
30.0,73.1275,300.69
30.0,73.2081,300.97
30.0,73.2886,301.29
30.0,73.3691,301.64
30.0,73.5302,302.36
30.0,73.6107,302.69
30.0,73.6913,302.94
30.0,73.7718,303.11
30.0,74.0134,302.93
30.0,74.094,302.67
30.0,74.1745,302.34
30.0,74.255,301.97
30.0,74.3356,301.6
30.0,74.4161,301.24
30.0,74.4966,300.91
30.0,74.5772,300.62
30.0,74.6577,300.37
30.0,74.7383,300.16
30.0,74.8188,299.99
30.0,74.8993,299.85
30.0,74.9799,299.75
30.0,75.0604,299.65
30.0,75.1409,299.62
30.0,75.2215,299.6
30.0,75.3826,299.62
30.0,75.4631,299.65
30.0,75.5436,299.68
30.0,75.6242,299.71
30.0,75.7047,299.73
30.0,75.7852,299.75
30.0,75.8658,299.76
30.0,75.9463,299.76
30.0,76.0268,299.75
30.0,76.1074,299.75
30.0,76.2685,299.75
30.0,76.349,299.76
30.0,76.4295,299.77
30.0,76.5906,299.81
30.0,76.6711,299.83
30.0,76.7517,299.84
30.0,76.8322,299.85
30.0,76.9128,299.86
30.0,76.9933,299.86
30.0,77.0738,299.86
30.0,77.1544,299.87
30.0,77.2349,299.88
30.0,77.3154,299.9
30.0,77.396,299.92
30.0,77.4765,299.95
30.0,77.557,299.99
30.0,77.6376,300.02
30.0,77.7181,300.06
30.0,77.7987,300.09
30.0,77.8792,300.11
30.0,77.9597,300.13
30.0,78.0403,300.14
30.0,78.1208,300.14
30.0,78.2013,300.13
30.0,78.2819,300.13
30.0,78.3624,300.12
30.0,78.443,300.11
30.0,78.5235,300.09
30.0,78.604,300.08
30.0,78.6846,300.06
30.0,78.7651,300.04
30.0,78.8456,300.01
30.0,78.9262,299.97
30.0,79.0067,299.93
30.0,79.0872,299.88
30.0,79.1678,299.82
30.0,79.2483,299.76
30.0,79.3289,299.69
30.0,79.4094,299.64
30.0,79.4899,299.59
30.0,79.5705,299.56
30.0,79.651,299.55
30.0,79.7315,299.56
30.0,79.8121,299.58
30.0,79.8926,299.62
30.0,79.9732,299.68
30.0,80.0537,299.74
30.0,80.1342,299.8
30.0,80.2148,299.86
30.0,80.2953,299.91
30.0,80.4564,300.0
30.0,80.5369,300.03
30.0,80.6174,300.06
30.0,80.698,300.08
30.0,80.7785,300.1
30.0,80.8591,300.11
30.0,80.9396,300.12
30.0,81.0201,300.13
30.0,81.1007,300.14
30.0,81.1812,300.15
30.0,81.2617,300.16
30.0,81.3423,300.16
30.0,81.4228,300.15
30.0,81.5034,300.13
30.0,81.5839,300.1
30.0,81.6644,300.06
30.0,81.745,300.01
30.0,81.8255,299.96
30.0,81.906,299.91
30.0,81.9866,299.86
30.0,82.0671,299.83
30.0,82.1477,299.81
30.0,82.2282,299.8
30.0,82.3087,299.81
30.0,82.3893,299.84
30.0,82.4698,299.87
30.0,82.5503,299.91
30.0,82.6309,299.95
30.0,82.7114,299.99
30.0,82.7919,300.03
30.0,82.8725,300.05
30.0,82.953,300.07
30.0,83.0336,300.08
30.0,83.1141,300.09
30.0,83.1946,300.09
30.0,83.2752,300.09
30.0,83.3557,300.09
30.0,83.4362,300.09
30.0,83.5168,300.09
30.0,83.5973,300.09
30.0,83.6779,300.09
30.0,83.7584,300.09
30.0,83.8389,300.08
30.0,83.9195,300.08
30.0,84.0,300.08
29.9329,72.0,299.8
29.9329,72.0805,299.8
29.9329,72.1611,299.8
29.9329,72.2416,299.8
29.9329,72.3221,299.8
