lat,lon,lst_k
30.0,72.0,315.56
30.0,72.0805,315.57
30.0,72.2416,315.6
30.0,72.3221,315.64
30.0,72.4027,315.68
30.0,72.4832,315.73
30.0,72.5638,315.79
30.0,72.6443,315.85
30.0,72.7248,315.98
30.0,72.8054,316.08
30.0,72.8859,316.19
30.0,72.9664,316.33
30.0,73.047,316.5
30.0,73.2081,316.95
30.0,73.2886,317.24
30.0,73.3691,317.57
30.0,73.4497,317.92
30.0,73.5302,318.28
30.0,73.6107,318.6
30.0,73.6913,318.88
30.0,73.7718,319.06
30.0,73.8523,319.15
30.0,73.9329,319.11
30.0,74.0134,318.98
30.0,74.094,318.74
30.0,74.1745,318.45
30.0,74.255,318.11
30.0,74.3356,317.78
30.0,74.4161,317.46
30.0,74.4966,317.17
30.0,74.5772,316.94
30.0,74.6577,316.75
30.0,74.7383,316.61
30.0,74.8188,316.51
30.0,74.8993,316.45
30.0,74.9799,316.4
30.0,75.0604,316.34
30.0,75.1409,316.33
30.0,75.2215,316.32
30.0,75.302,316.3
30.0,75.3826,316.27
30.0,75.4631,316.24
30.0,75.6242,316.15
30.0,75.7047,316.11
30.0,75.7852,316.07
30.0,75.8658,316.03
30.0,75.9463,316.0
30.0,76.0268,315.99
30.0,76.1074,315.98
30.0,76.1879,315.98
30.0,76.2685,316.0
30.0,76.349,316.02
30.0,76.4295,316.05
30.0,76.5101,316.08
30.0,76.5906,316.12
30.0,76.6711,316.17
30.0,76.7517,316.21
30.0,76.8322,316.26
30.0,76.9128,316.31
30.0,76.9933,316.35
30.0,77.0738,316.39
30.0,77.1544,316.43
30.0,77.2349,316.47
30.0,77.3154,316.51
30.0,77.396,316.55
30.0,77.4765,316.6
30.0,77.557,316.66
30.0,77.6376,316.71
30.0,77.7181,316.78
30.0,77.7987,316.84
30.0,77.8792,316.91
30.0,77.9597,316.97
30.0,78.1208,317.08
30.0,78.2013,317.11
30.0,78.2819,317.14
30.0,78.3624,317.14
30.0,78.443,317.13
30.0,78.5235,317.11
30.0,78.604,317.07
30.0,78.6846,317.03
30.0,78.7651,316.97
30.0,78.8456,316.91
30.0,78.9262,316.85
30.0,79.0067,316.79
30.0,79.0872,316.73
30.0,79.1678,316.67
30.0,79.2483,316.61
30.0,79.3289,316.55
30.0,79.4094,316.49
30.0,79.4899,316.42
30.0,79.5705,316.34
30.0,79.651,316.27
30.0,79.7315,316.19
30.0,79.8121,316.12
30.0,79.8926,316.06
30.0,79.9732,316.01
30.0,80.0537,315.98
30.0,80.1342,315.98
30.0,80.2148,316.0
30.0,80.2953,316.05
30.0,80.3758,316.11
30.0,80.4564,316.19
30.0,80.5369,316.26
30.0,80.6174,316.34
30.0,80.698,316.41
30.0,80.7785,316.46
30.0,80.8591,316.5
30.0,80.9396,316.53
30.0,81.0201,316.54
30.0,81.1007,316.54
30.0,81.1812,316.54
30.0,81.2617,316.53
30.0,81.3423,316.52
30.0,81.4228,316.51
30.0,81.5034,316.5
30.0,81.5839,316.48
30.0,81.6644,316.46
30.0,81.745,316.44
30.0,81.8255,316.42
